,STATE ABV,gopShare,demShare,margin,maskActual,pred,errors
0,AL,0.5897744471791996,0.4102255528208005,0.1795488943583991,1,1,1.0
1,AZ,0.4866884367969884,0.5037516735574085,-0.01706323676042,0,1,-0.5
2,AR,0.6258439808221459,0.3520792132670073,0.2737647675551385,1,1,1.0
3,CA,0.3261019184831378,0.6574279237215871,-0.3313260052384492,0,0,-1.0
4,CO,0.429581157456438,0.5343888673610907,-0.1048077099046526,0,0,-1.0
5,CT,0.3714294411255038,0.5860684697899899,-0.2146390286644861,0,0,-1.0
6,DE,0.3554603004504773,0.6445396995495227,-0.2890793990990454,0,0,-1.0
7,FL,0.5234619655098354,0.4710241485842352,0.0524378169256001,1,1,1.0
8,GA,0.5227166553558182,0.4772833446441817,0.0454333107116364,1,1,1.0
9,ID,0.6178183545908302,0.3480381375780052,0.269780217012825,1,1,1.0
10,IL,0.3866734078433179,0.6077505752884597,-0.2210771674451417,0,0,-1.0
11,IN,0.5531542760288496,0.4432865035069181,0.1098677725219314,1,1,1.0
12,IA,0.4653339017608334,0.5051071083074767,-0.0397732065466433,0,1,-0.5
13,KS,0.536206991760622,0.442131079802194,0.094075911958428,1,1,1.0
14,KY,0.595829150082306,0.3904928931449044,0.2053362569374015,1,1,1.0
15,LA,0.572175137084732,0.3787393202623866,0.1934358168223454,1,1,1.0
16,ME,0.4007609980408348,0.5511989767005068,-0.1504379786596719,0,0,-1.0
17,MD,0.3230452071364436,0.653635662780145,-0.3305904556437014,0,0,-1.0
18,MA,0.2019740159022905,0.7883396452790608,-0.5863656293767703,0,0,-1.0
19,MI,0.4461949454034043,0.5236022727436865,-0.0774073273402822,0,0,-1.0
20,MN,0.4374707276337745,0.5522226787037876,-0.1147519510700131,0,0,-1.0
21,MS,0.501821806938523,0.424719060435423,0.0771027465030999,1,1,1.0
22,MO,0.5503542222389459,0.425062138267621,0.1252920839713248,1,1,1.0
23,MT,0.5088229871476405,0.4624787627795036,0.0463442243681369,1,1,1.0
24,NE,0.6202922893607247,0.3797077106392753,0.2405845787214493,1,1,1.0
25,NV,0.4576799538705252,0.5113294073320053,-0.05364945346148,0,0,-1.0
26,NH,0.4364484769019881,0.5455772487124922,-0.1091287718105041,0,0,-1.0
27,NJ,0.3868226567998701,0.5992168437330879,-0.2123941869332177,0,0,-1.0
28,NM,0.3817925865881256,0.582748578920571,-0.2009559923324453,0,0,-1.0
29,NY,0.2759429282422465,0.6329019420601526,-0.3569590138179061,0,0,-1.0
30,NC,0.503924848621171,0.483457109741257,0.020467738879914,1,1,1.0
31,ND,0.6029949129469083,0.3563024320038877,0.2466924809430206,1,1,1.0
32,OH,0.5200249739117488,0.4726714505339978,0.047353523377751,1,1,1.0
33,OK,0.6197053703823093,0.3634534405125055,0.2562519298698038,1,1,1.0
34,OR,0.3806955502040763,0.5751700997297046,-0.1944745495256282,0,0,-1.0
35,PA,0.4475285884530541,0.5502502598950277,-0.1027216714419736,0,1,-0.5
36,RI,0.3486398165477574,0.6513601834522426,-0.3027203669044851,0,0,-1.0
37,SC,0.5431876507318879,0.4441224666208297,0.0990651841110581,1,1,1.0
38,SD,0.6034679599726951,0.3601384322340828,0.2433295277386122,1,1,1.0
39,TN,0.5924849871053472,0.3919094735185039,0.2005755135868432,1,1,1.0
40,TX,0.5041719502591901,0.4697172578499219,0.0344546924092681,1,1,1.0
41,UT,0.5865322399044532,0.355363435882672,0.2311688040217812,1,1,1.0
42,VT,0.2596718156644116,0.6924593993080804,-0.4327875836436687,0,0,-1.0
43,VA,0.4282082232821451,0.5675376631161512,-0.139329439834006,0,0,-1.0
44,WA,0.3470314376374733,0.6249581809896984,-0.277926743352225,0,0,-1.0
45,WV,0.5833066604843328,0.4058333088231478,0.177473351661185,1,1,1.0
46,WI,0.4578228042565947,0.5337495628497202,-0.0759267585931254,0,0,-1.0
47,WY,0.6370946060322423,0.298241508757605,0.3388530972746373,1,1,1.0
