State Pre,GDP per Capita,Year
California *,76132.00,2020
Texas *,60771.00,2020
New York *,85575.00,2020
Florida *,51277.00,2020
Illinois *,67137.00,2020
Pennsylvania *,59424.00,2020
Ohio *,57466.00,2020
Georgia *,58050.00,2020
New Jersey *,66659.00,2020
Washington *,78284.00,2020
North Carolina *,56404.00,2020
Massachusetts *,82948.00,2020
Virginia *,63662.00,2020
Michigan *,51166.00,2020
Maryland *,66531.00,2020
Colorado *,66142.00,2020
Indiana *,55313.00,2020
Tennessee *,53406.00,2020
Minnesota *,65486.00,2020
Arizona *,52065.00,2020
Wisconsin *,57314.00,2020
Missouri *,53517.00,2020
Connecticut *,76779.00,2020
South Carolina *,47728.00,2020
Oregon *,57474.00,2020
Louisiana *,50619.00,2020
Alabama *,45155.00,2020
Kentucky *,47190.00,2020
Utah *,60201.00,2020
Iowa *,60924.00,2020
Oklahoma *,47465.00,2020
Nevada *,54894.00,2020
Kansas *,59656.00,2020
Washington *,209471.00,2020
Nebraska *,68031.00,2020
Arkansas *,43407.00,2020
Mississippi *,38502.00,2020
New Mexico *,46502.00,2020
New Hampshire *,63593.00,2020
Idaho *,45364.00,2020
Hawaii *,57087.00,2020
West Virginia *,42382.00,2020
Delaware *,76406.00,2020
Maine *,50850.00,2020
Rhode Island *,55241.00,2020
North Dakota *,70420.00,2020
South Dakota *,61762.00,2020
Montana *,47421.00,2020
Alaska *,68019.00,2020
Wyoming *,62923.00,2020
Vermont *,52039.00,2020
